participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,group_selected,group_same,group_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_blue,cl_yellow
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,11910.4478750087,449.902708351146,1,0,11906.25,15,0,744.256150222924,124.239539773663,7.0,0.0,747.5,117.5,117.269987635371,124.977775854092,34,0,1,1,"[744.26, 124.24]",0,0,0,0,0,0.9030899869919436,7.0,77.44093232909843,124.98069330900672,165.50840250573384,117.02885968854008
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,12125.983749982,215.535874973284,2,0,12122.6,15,0,798.140348287143,121.134240147218,8.0,0.0,804.0,127.0,59.114296071255,53.9736017585824,35,0,0,1,"[798.14, 121.13]",0,0,0,0,0,0.8450980400142568,0.0,53.96968130348742,177.42157704180175,116.07441750876892,155.75562301246143
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,12360.1787500083,234.195000026375,3,0,12356.28,15,0,806.780622577575,206.752613019583,8.0,1.0,813.5,210.5,77.6305352293799,86.0532399920263,36,0,0,1,"[806.78, 206.75]",0,0,0,0,0,0.7781512503836436,1.0,62.346487471228066,109.3888714632343,102.91428083604336,69.73913463759068
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,12575.0129583175,214.834208309185,4,0,12572.61,15,0,744.641592886861,201.678453683218,7.0,1.0,740.0,194.0,61.3921819126833,62.3458587548055,37,0,0,1,"[744.64, 201.68]",0,0,0,0,0,0.6989700043360189,2.0,62.346487471228066,89.81536672529928,139.41879392678737,87.50279995520144
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,12975.5882500031,400.575291685527,5,0,12972.73,15,0,536.964337909125,195.099391454633,5.0,1.0,529.0,201.5,197.162369634776,207.781438764139,38,0,0,1,"[536.96, 195.1]",0,0,0,0,0,0.6020599913279624,3.0,75.35239677674494,130.87396265109416,50.69407854966895,65.86166411502218
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,13475.6248749909,500.036624987843,6,0,13472.69,15,0,899.240753732008,114.512638963741,9.0,0.0,908.5,116.0,376.941640045246,371.131278846856,39,0,0,1,"[899.24, 114.51]",0,0,0,0,0,0.4771212547196624,4.0,130.60271513257297,175.1088604268785,56.2353981047525,184.5122502708154
127,0,,8,0,b/y,0,80,50,0.0,target2,yellowDot100S,14110.4958333308,634.870958339889,7,7,14106.4,15,15,896.827244649378,559.651117691212,9.0,6.0,911.0,559.0,435.007183848727,445.145021616438,40,0,0,1,"[896.83, 559.65]",0,0,0,0,0,0.3010299956639812,5.0,129.54232242784602,65.87233182452252,43.96783483411473,76.34467761409438
127,0,,9,0,b/y,0,80,50,0.0,target2,yellowDot100S,1726.44945833599,633.267875004094,2,2,1706.32,1,0,188.937727155537,658.131215058323,1.0,7.0,206.5,654.5,12.5099960031968,41.7922623537816,3,0,0,2,"[188.94, 658.13]",0,0,0,0,0,-0.021189299069938,0.0,41.795335864184665,199.2841895384579,149.08065535139022,86.97839961737623
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,2376.50741665857,650.057958322577,1,0,2339.89,2,0,370.345003019573,575.636345275809,3.0,6.0,372.0,582.0,174.846361128849,199.283725569461,4,0,1,2,"[370.35, 575.64]",1,1,2,0,0,0.0222763947111522,1.0,127.39953885316855,86.03790153182487,56.58514646088672,64.5285068787431
127,0,,9,0,b/y,0,80,50,0.0,target1,blueDot100S,2776.53220834327,400.0247916847,2,2,2739.94,2,0,483.545766819455,634.092100366599,4.0,7.0,484.0,642.0,125.781556676645,127.402858006055,5,0,0,2,"[483.55, 634.09]",1,1,2,0,0,0.0,0.0,245.6620900749646,59.56510723569638,86.1974709605798,103.53269821655378
