participantN,age,gender,trialN,task,condition,FeatConj,setSize,proportion,timelimit,stType,imgName,timeTS,timeRel,runLength,runTest,touchTS,runN,runNH,stPosX,stPosY,col,row,touchX,touchY,touchDist,targDist,touchN,error,switches,changeScreen,resp_pos,grouping_selected,grouping_same,grouping_switch,strict_line,blocked_grouped,ratio,run_length,cl_same,cl_other,cl_same_color,cl_same_shape
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,7296.99808335863,249.974375008605,12,0,7260.39,1,0,306.190732655218,113.84238754645,2.0,0.0,296.0,123.0,98.7484177088423,95.7981642117902,12,0,0,0,"[306.19, 113.84]",0,0,0,0,0,-0.3679767852945944,10.0,95.80056836992148,86.80123616631275,71.12983621519172,116.21803130323626
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,7563.66179167526,266.663708316628,13,0,7543.38,1,0,189.780175120952,196.428680644744,1.0,1.0,198.5,197.0,117.60208331488,142.730213035489,13,0,0,0,"[189.78, 196.43]",0,0,0,0,0,-0.4191293077419757,11.0,94.83538211026513,177.52551872899852,75.87671316023119,54.307244452282795
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,7764.32483334793,200.663041672669,14,0,7743.46,1,0,112.68000366947,105.154863385814,0.0,0.0,111.0,119.0,108.555285454003,119.479480057726,14,0,0,0,"[112.68, 105.15]",0,0,0,0,0,-0.4771212547196624,12.0,119.48409266509077,279.33061772745214,78.81241019027397,163.9202794043495
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,8397.13566668797,632.810833340045,15,0,8360.46,1,0,614.837033286417,183.271087289332,6.0,1.0,622.0,188.5,511.87815933091,508.196641892349,15,0,0,0,"[614.84, 183.27]",0,0,0,0,0,-0.5440680443502757,13.0,241.26196073977346,60.10324533667047,86.76353611973178,128.61103296373918
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,9180.52116667968,616.703958337894,16,0,9160.5,1,0,569.329859025615,107.398009643109,5.0,0.0,568.5,122.0,10.0498756211209,88.4738764874284,17,0,0,0,"[569.33, 107.4]",0,0,0,0,0,-0.6232492903979004,14.0,88.47269070170749,87.10885890654289,173.1442918493128,81.17265795820663
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,10147.2750000248,966.753833345138,17,0,10126.94,1,0,882.954638790429,249.021108259601,9.0,2.0,890.0,262.0,348.772131914234,344.118590814657,18,0,0,0,"[882.95, 249.02]",0,0,0,0,0,-0.7201593034059569,15.0,223.90436820214117,76.30235907231179,96.84156339093258,49.8756223018821
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target2 , greenDot100S ,11364.0218750224,716.782791685546,18,18,11343.61,1,0,718.600698885136,401.084383560755,7.0,4.0,732.5,405.0,7.28010988928052,223.909484519319,20,0,0,0,"[718.6, 401.08]",0,0,0,0,0,-0.8450980400142568,16.0,174.8735809091814,67.79727723146411,54.127517955287814,90.41263296685926
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,12197.4121666863,833.390291663818,1,0,12177.03,2,0,875.734922859083,324.979183184837,9.0,3.0,877.0,337.0,159.488244080873,174.594289334311,21,0,1,0,"[875.73, 324.98]",0,0,0,1,0,0.8239087409443188,17.0,98.53560219534866,76.30235907231179,97.66570329445233,88.05411120441796
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,12414.146541676,216.734374989755,2,0,12393.72,2,0,899.284572320192,420.655282237574,9.0,4.0,907.0,423.5,84.8203984899859,98.5317305221533,22,0,0,0,"[899.28, 420.66]",0,0,0,1,0,0.8016323462331665,0.0,98.53560219534866,65.39385445131674,85.4847009704075,144.3151835393629
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,12714.0346250089,299.888083332917,3,0,12693.71,2,0,791.907200873404,492.55371369398,8.0,5.0,796.0,503.0,135.378174016346,129.225710850097,23,0,0,0,"[791.91, 492.55]",0,0,0,1,0,0.7781512503836436,1.0,104.34643501337261,108.27528065075614,93.54010530248512,75.93559902970408
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,12997.3236250225,283.28900001361,4,0,12977.06,2,0,735.402088859526,580.26520631802,7.0,6.0,746.5,595.5,99.8010520986628,104.336636049079,24,0,0,0,"[735.4, 580.27]",0,0,0,1,0,0.7533276666586115,2.0,104.34643501337261,76.74686182509353,88.71251377342436,76.05736059054372
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,13414.1438333318,416.820208309218,5,0,13393.76,2,0,642.374200024614,477.84330917015,6.0,5.0,648.0,488.0,146.990645960891,138.363409601129,25,0,0,0,"[642.37, 477.84]",0,0,0,1,0,0.7269987279362623,3.0,73.24755968631314,89.76236739302283,107.39757771942536,73.58092755599098
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,14347.8809583467,933.737125014886,6,0,14327.12,2,0,703.876170499448,334.901062511633,7.0,3.0,710.0,344.0,153.235113469466,155.611626339652,26,0,0,0,"[703.88, 334.9]",0,0,0,1,0,0.6989700043360189,4.0,155.6127363039414,67.79727723146411,73.45829429002559,82.6630038167015
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,14797.4979166756,449.616958328988,7,0,14760.83,2,0,567.126232503919,256.014023354762,5.0,2.0,563.5,265.0,164.575970299433,157.872450062444,27,0,0,0,"[567.13, 256.01]",0,0,0,0,0,0.6690067809585756,5.0,63.643137886185336,86.99052649570527,127.96007658641035,68.57888377627627
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,15064.1546666739,266.656749998219,8,0,15043.81,2,0,555.599981714903,193.417274066279,5.0,1.0,556.5,201.5,65.0249951941559,63.6490964487043,28,0,0,0,"[555.6, 193.42]",0,0,0,0,0,0.6368220975871743,6.0,63.643137886185336,60.10324533667047,82.36300443767215,108.53011609686966
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,15397.6637916639,333.509124990087,9,0,15377.18,2,0,663.21481077161,102.089129232349,6.0,0.0,664.0,117.5,134.444226354277,141.144541062387,29,0,0,0,"[663.21, 102.09]",0,0,0,1,0,0.6020599913279624,7.0,141.14205964205,94.03005104752415,128.1247942437372,124.22897327113346
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,15814.2668750079,416.603083343944,10,0,15793.77,2,0,741.539107286189,134.976578768352,7.0,0.0,742.5,135.5,79.562868223814,84.9486889921604,30,0,0,0,"[741.54, 134.98]",0,0,0,1,0,0.5642714304385625,8.0,84.95493511268188,135.59061213815647,53.951453177833905,83.42781310809966
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,16597.6643333561,783.39745834819,11,0,16577.25,2,0,444.161762148372,213.028388435837,4.0,1.0,451.0,209.0,297.592422618588,307.449785157814,31,0,0,0,"[444.16, 213.03]",0,0,0,1,0,0.5228787452803376,9.0,90.45422820410333,145.87489605823205,53.80657394779936,55.99445061789603
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,16914.2675000185,316.603166662389,12,0,16885.18,2,0,390.444376537324,134.726008251862,3.0,0.0,391.0,140.0,94.1408519188137,94.9569389742612,32,0,0,0,"[390.44, 134.73]",0,0,0,1,0,0.4771212547196624,10.0,94.95645528346141,86.80123616631275,46.22728415124559,149.5776096212264
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,17164.3269583583,250.05945833982,13,0,17143.99,2,0,360.112358386635,246.459372480374,3.0,2.0,360.0,253.5,116.692973224612,115.777268956022,33,0,0,0,"[360.11, 246.46]",0,0,0,1,0,0.4259687322722811,11.0,90.45422820410333,85.69495025962735,79.07591289387686,55.88551869670713
1,0,  ,0,0, rs/gd ,1,80,50,0.0, target1 , redSquare100S ,17431.0006250162,266.67366665788,14,0,17410.9,2,0,459.360746011802,323.632330774515,4.0,3.0,465.0,340.5,132.220459838862,125.721549219156,34,0,0,0,"[459.36, 323.63]",0,0,0,0,0,0.3679767852945944,12.0,111.63959870941851,88.04762858816807,83.06547357356122,57.534776439993244
